time,Delta T=0.05 MSRD,Delta T=0.05 stdv MSRD,Delta T=0.1 MSRD,Delta T=0.1 stdv MSRD,Delta T=0.15 MSRD,Delta T=0.15 stdv MSRD,Delta T=0.2 MSRD,Delta T=0.2 stdv MSRD,Delta T=0.225 MSRD,Delta T=0.225 stdv MSRD,Delta T=0.25 MSRD,Delta T=0.25 stdv MSRD,Delta T=0.3 MSRD,Delta T=0.3 stdv MSRD
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,1.1547217263666666e-5,8.962388242564919e-8,4.437594176066655e-5,3.6869992638776465e-7,0.00010857488681366655,8.499724612925619e-7,0.0002298724815516672,1.60081601493417e-6,0.0003111622854680003,1.8176634383074578e-6,0.00040903009839733364,2.4129598337180653e-6,0.0006347135768496663,2.746207855780293e-6
1.0,4.216971124999995e-5,2.8804349406878977e-7,0.00016226942389766652,1.2790019529710225e-6,0.00039712300112033417,3.115367072356452e-6,0.0008398020450029988,5.044886133021023e-6,0.0011361387006243334,6.477416434892129e-6,0.0014880312561523338,9.42243121561316e-6,0.00229181768938867,9.42352801354531e-6
1.5,8.731902376166636e-5,5.424862494200569e-7,0.0003364295939573335,2.5211313983074485e-6,0.0008239288059210015,6.734679914841613e-6,0.0017400659939760018,1.0795069098131562e-5,0.0023539354571566655,1.3760321781390464e-5,0.0030728703763333357,2.3023410013309274e-5,0.004703763514779003,1.8746583049698257e-5
2.0,0.00014349538861766674,8.288850736177026e-7,0.0005538557728876668,4.110285018969038e-6,0.0013574569434536652,1.2583059413244674e-5,0.002865241515361998,1.696754788907973e-5,0.003870132396580669,2.2085863933664353e-5,0.0050398085486809945,4.071996728529743e-5,0.007678753604835011,3.199804316815583e-5
2.5,0.0002079951108186666,1.1112420538581516e-6,0.0008045774263490001,6.4031196568755355e-6,0.0019723725371930036,2.042004346164193e-5,0.004160547550018666,2.489823160202376e-5,0.00561304768278634,3.063456289539582e-5,0.007292908676509006,5.989894008429921e-5,0.011063241490895683,4.697505050120837e-5
3.0,0.0002786977181139997,1.3057938201742968e-6,0.0010803185844346648,8.924467393775367e-6,0.00264906018964766,2.9609344904398018e-5,0.005585944763737665,3.24698069768835e-5,0.007526558860421995,4.085460669901012e-5,0.009755566230609329,7.793569719342729e-5,0.014738771276771664,6.540494111305241e-5
3.5,0.00035373551219899994,1.5625460895508879e-6,0.0013742740326616652,1.1578588561860703e-5,0.003372517444658656,3.954091521201942e-5,0.00710883936790233,4.038947343620286e-5,0.009564748386626997,5.249912846234195e-5,0.012370795923856676,9.704016997486612e-5,0.018621898532682347,9.022934743548893e-5
4.0,0.0004316925021196661,1.8836076842458394e-6,0.0016811184069106652,1.4331451132536869e-5,0.004128528959458333,5.056178701665938e-5,0.008701969010739675,5.221869508042332e-5,0.01168814222341598,6.65409372403086e-5,0.015090748395390638,0.00011662009188807865,0.02263581048166465,0.00011867442867371666
4.5,0.000511621816257667,2.2446141049636143e-6,0.0019960861794816637,1.6849295024444532e-5,0.004906512303646003,6.124175427654142e-5,0.01034353149350066,6.267806394430578e-5,0.013872036455306653,7.794787808589023e-5,0.017883726181668357,0.0001344119755065847,0.02672650502574965,0.0001451471522612205
5.0,0.0005925994413516672,2.7267641829042324e-6,0.002316103328532336,1.9798196238020255e-5,0.005698639805332325,6.939995015136867e-5,0.012010937921434338,7.417002674230628e-5,0.016092769553545338,8.974200259342998e-5,0.020721299570857374,0.00014732325783236032,0.03085805198908636,0.00018719663814350507
5.5,0.000674064187966335,3.3527070936893314e-6,0.002638469598713001,2.2438541599855483e-5,0.006496980923708659,7.602422347000566e-5,0.013692003365627,8.581681167536075e-5,0.018330211400812632,0.00010316696852809161,0.023576416811059348,0.0001558696552324302,0.03500454363411938,0.00023230274046985916
6.0,0.0007553887902139999,3.981015928729173e-6,0.0029611872044376713,2.4696501480423666e-5,0.007295538677198664,8.051641623802617e-5,0.015375287012489981,9.534724372265863e-5,0.020570305400123588,0.00012235657941598427,0.026434097728174694,0.00016362952005266143,0.03914280684172234,0.0002748030957327512
6.5,0.0008360384329910027,4.774479115268807e-6,0.0032818203235806666,2.714465982442403e-5,0.008091955111207657,8.431695557288273e-5,0.01705211667899936,0.00010351323747464686,0.02280670208260168,0.00014731142131629038,0.029277152970570326,0.00017470833208199014,0.043248961278069355,0.0003171312902519553
7.0,0.0009156707922896684,5.3087353498048786e-6,0.003599972071645332,2.9587399601161737e-5,0.008881483609047993,8.971629109066887e-5,0.018715004274829656,0.00010970367528119883,0.025026964400124002,0.00016517954838980207,0.03208609894563104,0.00019479329211981628,0.04732216749138437,0.0003670599765750092
7.5,0.0009938678883676685,5.9620365958468124e-6,0.003914139013341324,3.1917807106488874e-5,0.009661212169238322,9.53348467090699e-5,0.020361120924131327,0.0001138736415457113,0.027218687580678295,0.00017633973651076784,0.0348621983941717,0.00021092401137096401,0.05134733373572603,0.0004259309258167407
8.0,0.0010705955826279996,6.715975859849703e-6,0.004221787045655996,3.389194263630554e-5,0.010428825359105333,0.00010092097658873279,0.021988397254041663,0.000122384571548063,0.029379587080051662,0.0001822531659717931,0.037599796552087984,0.00023539558404576214,0.05532332858717268,0.0004920578503984895
8.5,0.001145691836474667,7.341940604280538e-6,0.004522984287283336,3.567329679808699e-5,0.011180174248549354,0.00010569635396280632,0.02359037051618837,0.0001264570390159818,0.03150860652308434,0.0001923563868844605,0.04029739094149965,0.00025471018247763327,0.05926185389197895,0.0005432606987596498
9.0,0.0012188051641540002,8.005536567623993e-6,0.004817242261157994,3.6718407379240106e-5,0.011912148557083328,0.00010930624404724011,0.02516806346616035,0.0001352319058456478,0.033593086156124684,0.0002000137411286047,0.042943112757852356,0.00028015648892604157,0.06314158129525245,0.0006059359959062236
9.5,0.0012898797260226663,8.83666625436854e-6,0.005103832778964329,3.82008326968884e-5,0.012626893816188017,0.00011468999620562328,0.026721150990381373,0.0001491469826355629,0.03563344694192572,0.00021401826442387972,0.045558038552227384,0.0003087855545001211,0.06695517886364874,0.0006656256440009074
10.0,0.001358933473519665,9.842030542470181e-6,0.005383086400266337,3.918453539408937e-5,0.01332179431189099,0.0001230618598906157,0.02824789929103904,0.0001649639610284044,0.03764151308486127,0.00022877632587913518,0.048133419266097356,0.00034823602437181027,0.07070052705527237,0.0007059711146998751
11.0,0.0014909732191899989,1.1266548914281181e-5,0.0059173126447050065,4.1605684304529354e-5,0.014657001739566014,0.0001451152850925513,0.031187758822398028,0.00021140394036581542,0.04155506389212612,0.0002549636147729041,0.053149201677054655,0.0004299117189896217,0.07802127206107397,0.000799026636339146
12.0,0.0016139382687866668,1.255803860260209e-5,0.006419520272316337,4.634788575031198e-5,0.0159300316000377,0.00016357452307691622,0.0339891130833693,0.0002605760173741566,0.04530924633200496,0.00027171529896648786,0.05794957511299301,0.00048443784628833335,0.0850972448947402,0.0009159061040729686
13.0,0.0017286716347039955,1.3287977175623355e-5,0.006888255201422343,5.188216321780809e-5,0.017125811943237645,0.00018390113057774953,0.03667344954585863,0.00030338514994919584,0.048903069852607776,0.00031901125275310774,0.06254079621302328,0.0005171916827767163,0.09189572642378618,0.001026969871868237
14.0,0.0018354301188940043,1.4144169522198034e-5,0.007327830265788007,5.965618034264895e-5,0.018255906774863013,0.00020409792616677173,0.03922803433883578,0.0003375364982939788,0.05236885298522135,0.0003530010490241748,0.06693878712039869,0.0005342037856488519,0.09850099163223587,0.0011640916878250768
15.0,0.0019340432963653325,1.4716103264569951e-5,0.007739040083453678,6.629904828114397e-5,0.01931564625595904,0.00022150851837336375,0.04167283601742399,0.0003785357861141428,0.055717826687158675,0.0004000872559449521,0.07123372160297735,0.0005798006241991906,0.10496233133956727,0.0012746362232388705
16.0,0.0020249432205046622,1.5369976833649133e-5,0.008122125566576011,7.02768396500181e-5,0.020308266429955698,0.00024130548565176534,0.044018101285972944,0.0004280328544593529,0.05895405363852541,0.00044204903929459093,0.0753958713066737,0.0006399868526172809,0.11122106652976281,0.0013637677943102808
17.0,0.0021098213706750007,1.6468652431185323e-5,0.008478847988311673,7.731589961450983e-5,0.02123700043493165,0.0002516540758441651,0.04625842923361709,0.00047189989999159255,0.06208004797333502,0.0004806098343262324,0.07944433339228203,0.0006948399908533138,0.11732131647322448,0.0014714069842684588
18.0,0.0021880757255946623,1.7789657315859747e-5,0.008810132729036996,8.209855192598214e-5,0.022115652059050656,0.0002670382347791189,0.048414130139408366,0.0004845075773338348,0.06509829644911856,0.0005310960378372982,0.08337431809747917,0.0007263659875255153,0.12333122436807031,0.0015676671349421608
19.0,0.002260502034530331,1.8133186798550763e-5,0.009115127144408012,8.805934463368036e-5,0.022934281122910995,0.00028296778348030376,0.050470283588784005,0.0005012612179900694,0.06802152927928254,0.0005701776365641605,0.08720356481194504,0.0007656938445169574,0.12928445214991838,0.0016964068110836507
20.0,0.0023270166469163372,1.8194446898067606e-5,0.00939785892757898,9.18740298024589e-5,0.023703764782144397,0.0002953832383464059,0.05244423759542692,0.000539572039810725,0.07085062441520319,0.0006280705086266412,0.09091768285484131,0.0007872055372698644,0.13517126992440123,0.0018001395014414978
21.0,0.002388293173470337,1.7683231913480983e-5,0.009662491750160663,9.500366437744969e-5,0.024430139192852675,0.0003055859257466939,0.054345906394300716,0.0005609132030275179,0.07359741276954206,0.0006768556664367587,0.09453924552259148,0.0007876647555260854,0.1409458997103967,0.0019089857800977123
22.0,0.0024442830973789996,1.7296215048052775e-5,0.009907581360589328,9.83474207699536e-5,0.02511506206445094,0.00031669825814013163,0.05619275181694909,0.0005731217659816444,0.07626633362372753,0.0007298337306740104,0.09811941972071023,0.0008096815301736587,0.14668048417953242,0.001977711837256585
23.0,0.002496251344242003,1.7195907536062133e-5,0.010129234753890664,0.00010237921369477268,0.02576036741108301,0.000335422346428846,0.05796154223937975,0.0005781498718678744,0.0788484981893416,0.0007705121585372723,0.10164809019204613,0.0008313832627264146,0.15237611022783676,0.002025512661772953
24.0,0.0025443229844983343,1.7275340956950193e-5,0.010336520024053662,0.00010656432921926827,0.02637263487923328,0.0003516317740417477,0.05968502083941032,0.000624568474110965,0.08137440644391389,0.0008067076418156866,0.10511526806322859,0.0008164766676193245,0.15804325867287106,0.00213728817973753
25.0,0.002588240802683667,1.617757647147978e-5,0.010526150781349672,0.00011231220093333515,0.026958522952689974,0.0003653636325493561,0.061379994127032295,0.0006794117369941817,0.0838373444072244,0.0008275655923302343,0.10852426622340601,0.0008222100279280204,0.16360968958594904,0.0022609911538345635
26.0,0.0026287192389523283,1.3992085581918824e-5,0.010705844348979345,0.00011745717378706831,0.027503974343761655,0.0003834193826036479,0.06306290182781366,0.0007281755714589889,0.08626209715548097,0.0008391443229861201,0.11189324407413452,0.0008315499212842257,0.16911627090789988,0.002323848237258561
27.0,0.0026655846234516687,1.236432285439381e-5,0.010871762158409326,0.0001240252874312045,0.028021204853365723,0.00040625039064108766,0.06471030325455462,0.0007768617115729317,0.08864524522631881,0.0008737234055465143,0.11522569424699776,0.0008499519455301064,0.17459018224206838,0.0024579584667644558
28.0,0.002700819000344662,1.2286540284242998e-5,0.01102650433869234,0.00012747053181300406,0.02851057316693931,0.0004319508561083144,0.06632054967368374,0.0008199718476433254,0.0909876779992639,0.0009015433405321781,0.11853413366340973,0.000876107730576194,0.1800791218601083,0.0025567447706025745
29.0,0.0027329776767536663,1.255342906076257e-5,0.011171308094045334,0.00012892378137474393,0.02898755799650975,0.00044857579885233,0.06787303287167369,0.000860473563463991,0.09328140189605533,0.000931186722303521,0.1217951539970042,0.0008988240551363947,0.18561635163304485,0.002597632600214851
30.0,0.0027611932385146693,1.2224535726096053e-5,0.011305291075647022,0.00013136817693945726,0.0294445164187254,0.0004648401424839405,0.06941282080611949,0.0008945625787180915,0.09557058162304338,0.0009519523944178553,0.1250302979741031,0.0009061030690748897,0.19111289369395182,0.0026627769185490415
31.0,0.0027872001045296663,1.1881897081609833e-5,0.011427983247321343,0.0001320465434766922,0.02987347553828497,0.0004729812341864117,0.07090770650331951,0.0009090456161771307,0.09786436195546332,0.0009518437913450593,0.12828092142456365,0.0009383348392575634,0.19657736491844804,0.002782701136084221
32.0,0.0028116702602593345,1.2542452673071893e-5,0.011543143137619671,0.0001361876463807651,0.030284084534662695,0.0004745240643492911,0.07238302846532098,0.000922749179222139,0.10013930535973774,0.0009776150428051898,0.13148843943559044,0.0009768097799336467,0.20204054244691938,0.0028844036481660623
33.0,0.002834470013265334,1.346884941395526e-5,0.011647198658659322,0.00014314978937574825,0.030678104683915006,0.00047444967974312805,0.07383854407069511,0.0009160255766219807,0.10238713840581617,0.0009644531972780658,0.1346567938308306,0.0010711082398145695,0.20748776067918318,0.0030286760420442176
34.0,0.0028548266563036663,1.4397436387676633e-5,0.01174324568500234,0.00014941060861015532,0.031053049395372647,0.0004728805909967127,0.07528707419047598,0.0009302512070061381,0.10459707430478737,0.0009764497735928177,0.13781275413243563,0.0011452087639775884,0.21296898339817338,0.0031347524378186873
35.0,0.002873826127736334,1.5143027113423035e-5,0.011834111096662008,0.00015363974055203122,0.03140671240646968,0.00046498432273646146,0.07672451232034262,0.0009593414486482195,0.10675774798819232,0.0010223166426468662,0.14098101022675916,0.001254971966194236,0.21840803499014677,0.0032186706639643187
36.0,0.002891894247179667,1.6042959462715834e-5,0.011918136537482672,0.00015621986249350937,0.031741781417039004,0.00045854030560104416,0.07811632995078252,0.00100267254432455,0.10891635449802918,0.0010650779658121711,0.14414200009391115,0.0013863499530777535,0.22384711804359705,0.0033009296654408406
37.0,0.0029083050052429974,1.7227106615945215e-5,0.011997020122373993,0.00015507353999392337,0.03208136826011066,0.00044782012922936677,0.07947588604998963,0.0010434386417353847,0.11105543633919993,0.0011142399555262481,0.14724279985403063,0.0015083426058351344,0.2293166790350074,0.003384483101362293
38.0,0.0029237411182619945,1.7806278803824234e-5,0.012070973393930994,0.00015667079220610034,0.03240787578410999,0.00044280729323066396,0.08082208956396783,0.001079505208067197,0.11316078871861608,0.0011627543295794594,0.15029282476479155,0.0016029781829852076,0.2347575143218316,0.003448970055809636
