bin_left,bin_right,bin_mean,tau_V=0.1 P(l),tau_V=0.1 upper_error,tau_V=0.1 lower_error,tau_V=0.5 P(l),tau_V=0.5 upper_error,tau_V=0.5 lower_error,tau_V=1.0 P(l),tau_V=1.0 upper_error,tau_V=1.0 lower_error,tau_V=2.0 P(l),tau_V=2.0 upper_error,tau_V=2.0 lower_error,tau_V=5.0 P(l),tau_V=5.0 upper_error,tau_V=5.0 lower_error,tau_V=10.0 P(l),tau_V=10.0 upper_error,tau_V=10.0 lower_error,tau_V=20.0 P(l),tau_V=20.0 upper_error,tau_V=20.0 lower_error,tau_V=50.0 P(l),tau_V=50.0 upper_error,tau_V=50.0 lower_error,tau_V=100.0 P(l),tau_V=100.0 upper_error,tau_V=100.0 lower_error,tau_V=200.0 P(l),tau_V=200.0 upper_error,tau_V=200.0 lower_error,tau_V=500.0 P(l),tau_V=500.0 upper_error,tau_V=500.0 lower_error,tau_V=1000.0 P(l),tau_V=1000.0 upper_error,tau_V=1000.0 lower_error
0.0,0.0005,0.00025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.733333333333337e-5,0.0,0.0,0.0001120000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011466666666666666
0.0005,0.001,0.00075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.733333333333337e-5,0.0,0.0,3.733333333333337e-5,0.0,0.0,4.799999999999999e-5,0.0,0.0,0.0,0.0,0.0,0.00013333333333333334
0.001,0.0015,0.00125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010400000000000005,0.0,0.0,0.00011466666666666666,0.0,0.0,0.0,6.666666666666667e-5,6.666666666666667e-5,0.00011466666666666664
0.0015,0.002,0.00175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667e-5,0.0,0.0,0.0001120000000000001,0.0,0.0,0.00018133333333333331,0.0,0.0,0.0,0.0,0.0,0.00016266666666666665
0.002,0.0025,0.0022500000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001120000000000001,6.666666666666667e-5,6.666666666666667e-5,4.799999999999999e-5,0.0,0.0,3.733333333333337e-5,6.666666666666667e-5,6.666666666666667e-5,0.00011466666666666664
0.0025,0.003,0.00275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001120000000000001,0.0,0.0,0.0001413333333333334,0.0,0.0,0.00014399999999999995,0.0,0.0,7.466666666666674e-5,0.0,0.0,6.666666666666667e-5
0.003,0.0035,0.0032500000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021600000000000013,0.0,0.0,0.00013333333333333334,0.0,0.0,0.00010400000000000005,0.0,0.0,0.00013333333333333334
0.0035,0.004,0.00375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667e-5,0.0,0.0,0.0002080000000000001,0.0,0.0,0.0,0.0,0.0,3.733333333333337e-5,0.0,0.0,0.00011466666666666666
0.004,0.0045,0.00425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018666666666666698,0.0,0.0,0.0002906666666666671,0.0,0.0,4.800000000000002e-5,0.0,0.0,6.666666666666672e-5,0.0,0.0,6.666666666666672e-5
0.0045,0.005,0.00475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014933333333333335,0.0,0.0,6.666666666666662e-5,0.0,0.0,7.466666666666667e-5,0.0,0.0,6.666666666666662e-5
