bin left,bin right,bin mean,tau_T=0.1 P(l),tau_T=0.1 stdv P(l),tau_T=1.0 P(l),tau_T=1.0 stdv P(l),tau_T=2.0 P(l),tau_T=2.0 stdv P(l),tau_T=5.0 P(l),tau_T=5.0 stdv P(l),tau_T=10.0 P(l),tau_T=10.0 stdv P(l),tau_T=20.0 P(l),tau_T=20.0 stdv P(l),tau_T=50.0 P(l),tau_T=50.0 stdv P(l),tau_T=100.0 P(l),tau_T=100.0 stdv P(l),tau_T=500.0 P(l),tau_T=500.0 stdv P(l),tau_T=1000.0 P(l),tau_T=1000.0 stdv P(l)
0.0,0.0005,0.00025,0.0,0.0,0.007546666666666667,0.0006228568192481726,0.008199999999999999,0.0006126243889817876,0.007266666666666666,0.0004998765279645327,0.006080000620666885,0.0008205986551718322,0.008214818352102108,0.0022444440446481597,0.013158338763062813,0.0007328462433025476,0.03341671197484624,0.014551890595585513,0.052233376118736505,0.01914095118442712,0.043280012257354054,0.015790849554045798
0.0005,0.001,0.00075,2.6666666666666667e-5,3.4426518632954825e-5,0.014993333333333334,0.0006505078737626166,0.01406,0.0010425277922102912,0.009479999999999999,0.0011185528569661607,0.008033334191111418,0.0006526296967310185,0.009466670588892466,0.0028366638569715125,0.01714167376723187,0.001238247263869388,0.04569172560293779,0.0223946258351233,0.07656006496588356,0.037212680531839355,0.0639066840929183,0.032861221648070635
0.001,0.0015,0.00125,4.000000000000001e-5,6.440611887195306e-5,0.01608,0.00141484196212078,0.014553333333333331,0.000935473736195256,0.009006666666666666,0.000612987019780805,0.007646667522666977,0.0006942802093595006,0.010733338001979856,0.0038698260835386394,0.019258341149455096,0.0018541876060982761,0.061050079705774,0.03780166627141171,0.1009867514716932,0.0493334506792153,0.08907335754359659,0.04289131055798038
0.0015,0.002,0.00175,8.000000000000002e-5,8.195150628704789e-5,0.01668,0.0011065684918523994,0.014866666666666667,0.0006949553676049725,0.009899999999999999,0.0009265627439728616,0.008360000859555856,0.0009060558863719778,0.012148153177535505,0.004810725530243541,0.0222500089327899,0.001832594179772668,0.07885843851056623,0.05105699784701274,0.1288401054963932,0.05574607032082434,0.11400669817983129,0.038019701126910464
0.002,0.0025,0.0022500000000000003,2.6666666666666667e-5,4.661372658534007e-5,0.016713333333333334,0.00122688001365302,0.01526,0.000813132944348699,0.00968,0.0016107049296411712,0.008446667505333624,0.0012950231647638774,0.013992598120498832,0.007810280916863954,0.02505000977834658,0.0027389554476403375,0.10807513680564787,0.07991466396706232,0.14836012104842483,0.03756908941325932,0.12848670391317435,0.028161360302094283
0.0025,0.003,0.00275,8.000000000000002e-5,4.2163702135578394e-5,0.01611333333333333,0.0009717236817018748,0.01402,0.0007337036102230388,0.008646666666666667,0.0009092392695999859,0.0084200008391114,0.0020512083193949117,0.01498519087457311,0.010224631246277748,0.0291333438683473,0.0030587751451650303,0.11079180957372113,0.07495962022465971,0.15717345805443506,0.01664595854882506,0.1332933732458457,0.019385730521046862
0.003,0.0035,0.0032500000000000003,0.0001,9.026709338484401e-5,0.01726,0.0014195982738997885,0.015226666666666666,0.0011431816117882868,0.009253333333333334,0.0006635482622208398,0.009600000933111436,0.0031291536895789135,0.018125932595067704,0.014262283189200978,0.03765834731085212,0.004421928616789267,0.10575847511455459,0.04247208734706527,0.182320136466899,0.013934044837177641,0.15344671328407894,0.021674322985764178
0.0035,0.004,0.00375,0.00015333333333333334,0.00010909277963229846,0.018026666666666663,0.0009470943217657819,0.015526666666666666,0.001358448643140175,0.009613333333333335,0.0006392897293283315,0.009693334262222542,0.0022823418190599165,0.020318526364945435,0.01345770225903299,0.04530001715391191,0.0040667269307956,0.09895847157343976,0.008478010180936545,0.18408680241089986,0.021291296336503996,0.14878004765363545,0.031808163931788674
0.004,0.0045,0.00425,5.333333333333337e-5,5.258737584977441e-5,0.018506666666666685,0.00176080789538338,0.015093333333333347,0.0014422889900655145,0.009746666666666676,0.0008489935944733571,0.009646667648889242,0.0017213398772006662,0.02001482323358799,0.00528580500498379,0.055016687156972145,0.005979176172493795,0.10708348607543057,0.016294315561278454,0.16869345415131637,0.020329470891596764,0.13542004382918527,0.029938985783255587
0.0045,0.005,0.00475,0.00011333333333333326,7.062332703142527e-5,0.018126666666666652,0.0009367398152536701,0.016059999999999984,0.0012813765745969931,0.009766666666666658,0.0008806563209081928,0.010780001224889316,0.0008061806138907403,0.022370380463713466,0.0029426188616054195,0.0679166917419781,0.006977736121525513,0.10960015823128327,0.03145452679357709,0.14777344043284932,0.018606890337213088,0.13045337096384008,0.02912233937661806
