bin left,bin right,bin mean,tau_T=0.1 P(l),tau_T=0.1 lower error,tau_T=0.1 upper error,tau_T=1.0 P(l),tau_T=1.0 lower error,tau_T=1.0 upper error,tau_T=2.0 P(l),tau_T=2.0 lower error,tau_T=2.0 upper error,tau_T=5.0 P(l),tau_T=5.0 lower error,tau_T=5.0 upper error,tau_T=10.0 P(l),tau_T=10.0 lower error,tau_T=10.0 upper error,tau_T=20.0 P(l),tau_T=20.0 lower error,tau_T=20.0 upper error,tau_T=50.0 P(l),tau_T=50.0 lower error,tau_T=50.0 upper error,tau_T=100.0 P(l),tau_T=100.0 lower error,tau_T=100.0 upper error,tau_T=500.0 P(l),tau_T=500.0 lower error,tau_T=500.0 upper error,tau_T=1000.0 P(l),tau_T=1000.0 lower error,tau_T=1000.0 upper error
0.0,0.5,0.25,1.9697372405104148,0.009879513048248276,0.009879513048248276,1.9795889306151087,0.00089200891520282,0.00089200891520282,1.979906367014209,0.0010091907675012304,0.0010091907675012304,1.9682928800284802,0.0010614501885367262,0.0010614501885367262,1.944694284789953,0.0025196764135566522,0.0025196764135566522,1.9084833201856024,0.004105380564849878,0.004105380564849878,1.8451099315618673,0.0035745107420684995,0.0035745107420684995,1.779221051844441,0.007178384836475916,0.007178384836475916,1.6577575959778788,0.0059211226234859755,0.0059211226234859755,1.658457982618597,0.01050903601712023,0.01050903601712023
0.5,1.0,0.75,0.030262759489585355,0.009879513048248266,0.009879513048248266,0.019805376306090267,0.0008894795622070673,0.0008894795622070673,0.017890385813165897,0.0008916857975053725,0.0008916857975053725,0.01666149063908101,0.0004929530658184803,0.0004929530658184803,0.017676503756110896,0.0008991409840501545,0.0008991409840501545,0.019065315297741112,0.0006158676847117334,0.0006158676847117334,0.02150626440313485,0.000672131818318996,0.000672131818318996,0.02537243950495588,0.0010406580027857177,0.0010406580027857177,0.03780988665504812,0.001425826929072553,0.001425826929072553,0.034205804158719696,0.0011787992128152087,0.0011787992128152087
1.0,1.5,1.25,0.0,0.0,0.0,0.0005813103111916238,0.00012378659816042237,0.00012378659816042237,0.0014728609861397327,0.00023410184270556563,0.00023410184270556563,0.0051175300583882095,0.00028837984473165947,0.00028837984473165947,0.008206165238966685,0.0005937497153663975,0.0005937497153663975,0.010361792971262943,0.0005897395680808482,0.0005897395680808482,0.01269539974462355,0.000850151656600483,0.000850151656600483,0.014177129157993278,0.0006211936938244211,0.0006211936938244211,0.018385039647999805,0.0008208315666203271,0.0008208315666203271,0.01551878835095769,0.0015735285699697038,0.0015735285699697038
1.5,2.5,2.0,0.0,0.0,0.0,0.0,0.0,3.14318856181467e-5,0.00028795352047395503,5.1402021676260654e-5,5.1402021676260654e-5,0.002654254199747001,0.00020443925756850884,0.00020443925756850884,0.005351315468113258,0.0002976662690251677,0.0002976662690251677,0.007663523672554285,0.0006633665888380702,0.0006633665888380702,0.009631031629888747,0.0004405025551703397,0.0004405025551703397,0.011121501846039262,0.0004878928652610947,0.0004878928652610947,0.011744952751795967,0.0004467127758806946,0.0004467127758806946,0.00989410776194974,0.0009536684708319412,0.0009536684708319412
2.5,4.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,3.575052943615832e-5,2.276037623743793e-5,2.276037623743793e-5,0.0008843544609792066,0.00015418922267308494,0.00015418922267308494,0.002761043474955139,0.0002475050740051152,0.0002475050740051152,0.005035533308215091,0.00029016632842142137,0.00029016632842142137,0.007315677084316527,0.00035715112521806725,0.00035715112521806725,0.008349712459254416,0.00034023249554910006,0.00034023249554910006,0.008590033784409314,0.00038028081759851947,0.00038028081759851947,0.0072153793693535955,0.00041824029537778116,0.00041824029537778116
4.5,9.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8717666878461145e-6,0.0001062472019309754,1.473245768189981e-5,1.473245768189981e-5,0.0006801057535163673,4.876595443658958e-5,4.876595443658958e-5,0.0019702367839695943,0.0001802453229973827,0.0001802453229973827,0.0039283675868405765,0.00011270385998694312,0.00011270385998694312,0.005531926573427527,0.0002636692921452474,0.0002636692921452474,0.006006749686459849,0.00020418262268339263,0.00020418262268339263,0.00503425427886123,0.00020311403161038616,0.00020311403161038616
9.5,14.5,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.376992324934795e-6,7.505114617799516e-5,1.3774819042533786e-5,1.3774819042533786e-5,0.0005117709979941709,5.7330116399241484e-5,5.7330116399241484e-5,0.001724595323726399,9.404303877312095e-5,9.404303877312095e-5,0.002891322362055507,0.00014046236185022516,0.00014046236185022516,0.004079037187332458,0.00016567269875273447,0.00016567269875273447,0.0035863097696330567,0.00031247652607489557,0.00031247652607489557
14.5,19.5,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0566410323804582e-5,5.670528341440937e-6,5.670528341440937e-6,0.00012770539442381087,2.498953339812057e-5,2.498953339812057e-5,0.0008054236817868404,5.0906912132297126e-5,5.0906912132297126e-5,0.0016775655217007778,0.00011341222108091501,0.00011341222108091501,0.0030235750785451466,0.00016462661046626797,0.00016462661046626797,0.0027200924001279966,0.00020179654431667164,0.00020179654431667164
19.5,24.5,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5855147373594838e-6,1.569659589985889e-6,1.595905173589975e-6,3.6985509114414376e-5,1.6178716975864194e-5,1.6178716975864194e-5,0.0003732517454784873,3.861423462766176e-5,3.861423462766176e-5,0.0009456290036413193,0.00011564672282673439,0.00011564672282673439,0.0021742037448846206,0.00014612572920690996,0.00014612572920690996,0.002139536956486396,0.00017993056572003112,0.00017993056572003112
24.5,29.5,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0602227711298647e-5,7.769775447887365e-6,7.769775447887365e-6,0.00019745090156219187,2.9130733395609376e-5,2.9130733395609376e-5,0.0005701287522623155,0.00010038961209206082,0.00010038961209206082,0.0016725521516764916,8.991245210640323e-5,8.991245210640323e-5,0.0017344876567455445,0.00017866359771933065,0.00017866359771933065
