m,tau_V=0.1 C_vu(m),tau_V=0.1 stdv C_vu(m),tau_V=0.5 C_vu(m),tau_V=0.5 stdv C_vu(m),tau_V=1.0 C_vu(m),tau_V=1.0 stdv C_vu(m),tau_V=2.0 C_vu(m),tau_V=2.0 stdv C_vu(m),tau_V=5.0 C_vu(m),tau_V=5.0 stdv C_vu(m),tau_V=10.0 C_vu(m),tau_V=10.0 stdv C_vu(m),tau_V=20.0 C_vu(m),tau_V=20.0 stdv C_vu(m),tau_V=50.0 C_vu(m),tau_V=50.0 stdv C_vu(m),tau_V=100.0 C_vu(m),tau_V=100.0 stdv C_vu(m),tau_V=200.0 C_vu(m),tau_V=200.0 stdv C_vu(m),tau_V=500.0 C_vu(m),tau_V=500.0 stdv C_vu(m),tau_V=1000.0 C_vu(m),tau_V=1000.0 stdv C_vu(m)
0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1.0,0.2454165436943348,0.001398934073173265,0.269666393937191,0.0015962078490287417,0.285449124029811,0.000857103827826119,0.30204464772959383,0.0009356125818061155,0.32580808501687125,0.0014240735308692558,0.343780317527073,0.002189876530931321,0.3655803620296894,0.002120530542476659,0.4036928641496442,0.0032927035562146435,0.435242055761084,0.004437923051218645,0.4661259054170436,0.004027720492197208,0.504748190567566,0.006329873893896735,0.521469415054995,0.008372000492358419
2.0,0.03152767455094026,0.0013376719475882391,0.04749518795840677,0.0012252824498776096,0.05727960384316515,0.001247310629412947,0.06776744406599168,0.0012805497721308148,0.08748680826642216,0.0014403282942043465,0.10399549502658345,0.002177114870096925,0.12402494373750941,0.002404223798870194,0.15581356244684458,0.0037963628272453896,0.18348201352105264,0.004450319895703744,0.21014745543190366,0.0054596026501296515,0.25158003616369623,0.009156065156436537,0.2687285397430703,0.012430079593971249
3.0,0.0024134402955527374,0.0009219419839028016,0.009983574768235654,0.0009646386838857885,0.016090398814538283,0.001122481857236665,0.02197476315110722,0.0016781375742749034,0.032180301080664046,0.0013896960890287296,0.039678541345389506,0.0015231036749321393,0.04897950542457789,0.001764498631633362,0.062397264363658944,0.0033806768885776143,0.07548001028636403,0.0042788722086501176,0.08683067581544734,0.005624029133409123,0.11573751857476303,0.009452993780748393,0.12706043721130983,0.015246027997061212
4.0,0.0005447669407202518,0.0004972411238351424,0.002752675398319211,0.0012761212429588742,0.005902063542719895,0.0008834167407000187,0.010240192210623191,0.0009932362420555856,0.016306466283412223,0.001114515703814598,0.020690327112765125,0.0011581162780210479,0.02405773979075841,0.0011863624691960581,0.028251470698681502,0.0031081912358028453,0.031209392679659213,0.003877142805865976,0.03218196850187603,0.0055003195825889875,0.04736422819382698,0.0087558823418283,0.05320294448652596,0.017062841934845835
5.0,0.0005472627283936737,0.0006946815404578966,0.0007585250210420255,0.0013202957143632465,0.0021388635292502287,0.0008225181442252308,0.004849161474903481,0.0008759301858115742,0.009352507533361544,0.0009089029942401111,0.012675937852464344,0.0010529342148649303,0.014010714039989922,0.0010267405809689185,0.015653313168132524,0.0023683696265243276,0.014673158740479825,0.00333054925767651,0.011295849689356322,0.005355796969061524,0.017414081255534057,0.007288094631264235,0.01953798178733658,0.017209660025045235
6.0,5.523064203990333e-5,0.000733156033251507,0.00018383895635343942,0.000800580875613457,0.0012404434650480193,0.0007599282830305823,0.002422568141492444,0.0009537986731546533,0.005443776922482755,0.0011963562337444491,0.008357237655869595,0.0011081058673559482,0.009052228730714233,0.001111092984843983,0.01067371762677834,0.001751219218509797,0.009282077645149241,0.0029111262029531226,0.005193460771788233,0.005100594596863866,0.006406923526402893,0.006149713092092627,0.006885432976018343,0.015925771164470904
7.0,5.811837627100719e-5,0.000578388740723088,0.0002330069599396808,0.0007917933128581106,0.0007493823791802174,0.0007640722081280514,0.0009682333745208936,0.000977655506377152,0.0030881024477447247,0.001138179633237636,0.005512271213441483,0.0010574910974553281,0.006218867842244932,0.0011988261676052854,0.008100414388368338,0.00169741187776749,0.008426410270526688,0.0024654891574315604,0.004440288942538015,0.004458096363449515,0.0035626099683080865,0.0057450216132533035,0.0033195184757596934,0.014156587635961107
8.0,-6.67113976348385e-5,0.0005828307779703065,0.00027013975684605986,0.0007750424325446303,0.00036768767957797604,0.0005943525492916906,-5.528739299029049e-6,0.0010396807042363932,0.001422577796912319,0.0008559061082845202,0.003544469097691739,0.0007051539055386591,0.0047480212075651255,0.0013180364165561273,0.007005672727668416,0.0023057506239681676,0.0086472929385201,0.0020228938574707277,0.005124908503934048,0.0034812592872933965,0.0034039599798731017,0.005150781027337861,0.0029865768630592863,0.01283212934915019
9.0,-9.66391266710776e-5,0.00048250886108066086,0.0002171237238853747,0.0006031759188376944,0.0003024711620120791,0.0007811741905507689,-0.0003021066500741794,0.0008404782764869517,0.0007981393052438614,0.0005395397585266607,0.0025288475142189746,0.0010238232656650662,0.0036745557018218406,0.0012805414401390954,0.006200725848082782,0.002392302409407738,0.008695662883284818,0.00203602168672979,0.0053384237109168516,0.0028370749659035145,0.00399352530345233,0.004271554816505671,0.0037960131498855926,0.012140414121692282
10.0,0.00018226098135713228,0.0005670912421390545,5.832829685130016e-5,0.0003288019574540904,0.0002658945935204983,0.0006667275979305732,-0.00022659171738429522,0.0006171552721740141,0.0005284890818297537,0.0006780588070758128,0.0016743097492181304,0.0010071684113779175,0.003040935792598323,0.0012967607343608197,0.0056497914133454286,0.0016496431021661498,0.008081210622726225,0.0026608374053627842,0.005192824683855994,0.002887106664745165,0.004347682535762487,0.00402979892682441,0.004541901182218591,0.011832906526448791
11.0,0.00019248759117126415,0.0004402587291019965,0.00020311414748569882,0.0005053347542930937,3.594328828376681e-5,0.0005368185705527319,8.678625076294318e-5,0.0006372886782247447,0.00033262512816479916,0.0006009939100089258,0.0011144788374951144,0.0008788378729972628,0.002465058282682565,0.0010443056436554982,0.005267121913636065,0.0015513587068153323,0.007424360582056376,0.0024534750369580357,0.00508443959740295,0.003198095832625531,0.00473759406765644,0.0048307135057925376,0.004639046499325539,0.011643462228357479
12.0,5.996631783161536e-5,0.0005133371954189546,0.00012952204871673426,0.0005388508647818209,-0.0001560862773221261,0.0004720888043062303,0.00018041569108550738,0.0005943316920483795,0.00031936367274190447,0.0007825116884841878,0.000714762447744939,0.0007475250385981704,0.0021714340505846518,0.0009267909750900927,0.0047028817288889335,0.00145561055043438,0.006822938190496383,0.0020694528387701786,0.0052976425214794984,0.0033315281047809767,0.00548661830164201,0.005934171122092007,0.004541013251149423,0.01124468334561957
13.0,-8.123875151086216e-5,0.0004072171000403533,-4.234373226254048e-7,0.0005271503714004283,-0.00011769029055561474,0.0005382035698384875,-6.712470457243974e-5,0.0007482987013817781,0.00010615916467023251,0.0005381009929056414,0.00042286021531906596,0.00048084565798077266,0.0017452500266763806,0.0010968926665907077,0.004034575522020875,0.0012710328659141402,0.006221816509015947,0.0021778547186879285,0.005863678811728409,0.0037466960060005394,0.005981414926374852,0.006850703680147397,0.004463094844984642,0.01086992489535074
14.0,-2.4196145339726707e-5,0.00018324824561428247,8.619636318716867e-5,0.00039935328378849555,-9.71835182822832e-5,0.0006120044490641812,-0.00025660621569542657,0.0006444207791698288,8.867808552477174e-6,0.0004550243359498759,0.00029446879562811524,0.0005303614957380302,0.0012439529934137198,0.0010636640680892345,0.0035202330976190598,0.0010587905998689878,0.005663977880536522,0.0026031971550764185,0.006325636326967389,0.004382632768280246,0.006314422020014499,0.007385590479134631,0.0047873036470989176,0.01045902811000682
