m,tau_V=0.1 C_vu(m),tau_V=0.1 stdv C_vu(m),tau_V=1.0 C_vu(m),tau_V=1.0 stdv C_vu(m),tau_V=2.0 C_vu(m),tau_V=2.0 stdv C_vu(m),tau_V=5.0 C_vu(m),tau_V=5.0 stdv C_vu(m),tau_V=10.0 C_vu(m),tau_V=10.0 stdv C_vu(m),tau_V=20.0 C_vu(m),tau_V=20.0 stdv C_vu(m),tau_V=50.0 C_vu(m),tau_V=50.0 stdv C_vu(m),tau_V=100.0 C_vu(m),tau_V=100.0 stdv C_vu(m),tau_V=500.0 C_vu(m),tau_V=500.0 stdv C_vu(m),tau_V=1000.0 C_vu(m),tau_V=1000.0 stdv C_vu(m)
0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1.0,-0.05625895852258154,0.0010207212817757456,-0.06505295566018839,0.0011790827275400522,-0.06358903505252328,0.0008684800509611459,-0.054349052005915485,0.0015538442716407032,-0.045844214346398356,0.0012748509478273844,-0.036425545027179755,0.0009544340021992363,-0.02575134410329628,0.0010263453048769355,-0.02050391553349464,0.001693595774686762,-0.016272257800974584,0.0013577845369388824,0.005367244011394236,0.0023164033443473665
2.0,-0.031804672544384974,0.0007597159212410971,-0.021167094223948614,0.0010963855651639817,-0.018821081478484075,0.000999052877668551,-0.019899430530900174,0.0011488370797897948,-0.020453866730332636,0.0005830478696786381,-0.02201221188079661,0.0006095880256971496,-0.02234523922883446,0.0009716315045379566,-0.02097182327965398,0.0008609055515282273,-0.020197615144099824,0.0008767382427907819,-0.01829146138984559,0.0010854030176646906
3.0,-0.0019028971153391733,0.0007760517082948727,-0.0037236182557870067,0.0007784184447351156,-0.0032237937932709697,0.0007276760066315845,-0.0033667030885349745,0.0006045751469243247,-0.004033165230041206,0.0006378874743726275,-0.004547195869952438,0.0007555295778393269,-0.005450458278713706,0.00061874532986123,-0.00600640077497841,0.0010583550848511144,-0.005514654285338514,0.0004601367053675963,-0.006265709458094143,0.0006361528326676276
4.0,0.0001874061806326302,0.0008120320030795062,-0.0004978910719826257,0.0004338601014199409,-0.0011570611245658349,0.0008497555857839378,-0.001209704803559061,0.0005623718950657318,-0.001473814916925299,0.0006502470184918627,-0.0014803328129119517,0.0006681991168084071,-0.0017224499986510646,0.0003911166762831469,-0.0019919353301989886,0.000630788418018059,-0.00206280223976464,0.0006068649096159746,-0.0029820579087869313,0.0006691647517171079
5.0,0.00011493349833784287,0.0007330161308050971,-0.00022517813146358162,0.00045372903537730833,-0.00036691762771415016,0.0005196721849719782,-0.00033529420746352203,0.00027011750590880546,-0.0005265444091284984,0.0004499093793611705,-0.0007305630624450719,0.0007170033425634441,-0.0007734932363550809,0.000368195970115824,-0.0008553233946326377,0.0005153741651987819,-0.0009922793514392284,0.0006241421910725217,-0.0017319867056416242,0.0005259842062712573
6.0,-0.00021050072200215242,0.0004968944340022789,-9.257415266327915e-5,0.000434193981055172,-0.00014329991848407138,0.0005934059244055013,-0.00026314971983794214,0.00030651944950746017,-0.0004012097499143727,0.000563949775805089,-0.0003210166869040127,0.0003386518538978553,-0.0003748967018383588,0.0006051966238885451,-0.0003586296161639558,0.00047984252147269013,-0.0005931810382191005,0.000542845884088296,-0.0006382146488036458,0.00060447411284947
7.0,2.721566016615322e-5,0.00048657940166117584,-0.00015503366102576844,0.00039774140972399997,5.588283121257283e-5,0.0002498236342450864,-0.00022061088911462545,0.0003621498387331295,-0.000186310824140308,0.00045642190080191325,-0.00023802199404715,0.00045049536040882125,-0.0001990269281447615,0.0004390128355707794,-5.611425854365013e-5,0.00037388744365600835,-0.0004131602338258471,0.00045695265481240753,-0.0005462347002383658,0.0003167657654864282
8.0,-0.00022900054724700052,0.00045922599784341186,0.00020909382249425452,0.0003472708365161902,-0.00020552167885441,0.00022176841218051897,0.0001384931636800305,0.00042109345016963794,-9.476837671453498e-5,0.0003159649795572376,-2.6421002542955945e-5,0.0006037075691814553,-0.00021214771219919972,0.00024741348384846117,-0.0003017871800400821,0.0002797250468595434,-0.00018427903745889466,0.000428383692306421,-0.00022008869988381012,0.0004950103702394714
9.0,-4.029709457369423e-5,0.0002634535312983049,-9.095530676819631e-5,0.00028888224140651177,1.3874546253327607e-5,0.00032984260674530597,-0.00020281311709128297,0.0006239639509266062,-5.2235927865755126e-5,0.00037426236286936004,-0.0003148190511947663,0.0005425539493150674,-0.00014409667500313658,0.0004321282722516779,-0.0001312786494322158,0.00032231759873446714,-0.0001559368206726846,0.0004366947153056502,-0.0002255874124599426,0.00034424136385134604
