Delta T,tau_T,MSD(2500),stdv MSD(2500),MSRD(500),stdv MSRD(500),MSRD(1000),stdv MSRD(1000),MSRD(2500),stdv MSRD(2500),MSRD diffusivity exponent,shape factor, stdv shape factor,aspect ratio,stdv aspect ratio,T1 rate,stdv T1 rate,P(l<l_c),stdv P(l<l_c),trapped edge lifetime,stdv trapped edge lifetime,T1 success rate,stdv T1 success rate,Δstdv ^2_n,stdv Δstdv ^2_n,v^2,stdv v^2,correlation length,stdv correlation length,tau_eff,stdv tau_eff
0.05,0.1,8.435635320199995e-5,1.1896903080458163e-5,0.00012542614553999983,1.3371935781771475e-6,0.00012593535068599972,1.229222391818417e-6,0.0001264955383756668,1.0900595593792756e-6,0.008274408182675672,3.7615871063788027,0.001928417357559709,1.1861726904607628,0.007651478905349669,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.00016815272826391,9.63539362655983e-7,-0.09192856461714684,0.0006148966385370932,0.009999391897913157,0.003442703339783315
0.05,1.0,0.0005519056485330003,6.107217579372769e-5,0.000914787522117667,6.2419602011774725e-6,0.000922728239138664,1.0887371727336027e-5,0.0009455767423859998,6.924177788997606e-5,0.05252937765892749,3.7612596727322427,0.0014436289086592472,1.1818318775796905,0.004192335896463445,2.0e-7,NaN,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,8.772637739147e-5,3.9127068365400655e-7,-0.09268730584276079,0.0005565363721518995,0.04058708138242888,0.00546000967958648
0.05,2.0,0.0008869692120720005,3.4504966913271855e-5,0.0014804366204369975,2.6162750301130204e-5,0.0014850579561913313,2.8221304208304278e-5,0.0014853218657303346,2.9920529666348055e-5,-0.010012923405309074,3.762083560572324,0.0017331860476145701,1.184943099541412,0.005240286501601762,NaN,NaN,0.0,0.0,0.0,NaN,1.0,NaN,NaN,NaN,6.502964420833166e-5,5.560772979265349e-7,-0.09065447617685986,0.0007182780654310156,0.06638282107911712,0.007070992473692591
0.05,5.0,0.001733042727286999,0.0001857166907560588,0.0024418504981566663,6.428392077615195e-5,0.0024798847972036645,0.00010791235311342388,0.002576401828179664,0.00017850913249803688,0.02055581133179955,3.762846225536748,0.001698626515703401,1.1855035421008124,0.005932736390306649,4.0e-7,2.0e-7,0.0,0.0,NaN,NaN,1.0,0.0,NaN,NaN,3.917452643077999e-5,3.6122016525756225e-7,-0.07965772615087649,0.00100255812029785,0.10469564648368426,0.009662548113356153
0.05,10.0,0.002432695199816999,0.00021681372376278115,0.003167974194166336,6.754227449602457e-5,0.0032097461732449963,0.00010282756873691088,0.0033079009688206608,0.0001793492254513094,0.04205910324687036,3.762665190426361,0.00140125199629344,1.183303843166722,0.005493054481678203,3.6666666666666667e-7,2.6583202716502514e-7,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,2.4671464111610002e-5,1.7033525987845761e-7,-0.06690822439012481,0.0010793141510954455,0.11143920565123094,0.01527704753289189
0.05,20.0,0.003322470203026,0.0003749622422406135,0.0038053706470676713,6.59031016359304e-5,0.0038897942549923365,9.755430284069902e-5,0.00402592405287934,0.00021719643239281753,0.03510839295399803,3.7632304176577485,0.0014130175255768279,1.1851743663562853,0.003862387353695701,5.142857142857142e-7,2.2677868380553634e-7,0.0,0.0,0.0,0.0,1.0,0.0,NaN,NaN,1.465633379068e-5,7.144109763994039e-8,-0.049815071210460256,0.0009092986040094563,0.19238389770343048,0.02111644990131317
0.05,50.0,0.004147981853227002,0.0001618512846777219,0.004348280151610674,5.741917611821755e-5,0.004408689375943676,6.759269077923466e-5,0.004522963759286003,0.00014215544868441667,0.03148104616596027,3.7641518804931975,0.001564884070296302,1.1879848943979068,0.005290174101138297,3.333333333333333e-7,1.0327955589886445e-7,0.0,0.0,0.0,0.0,1.0,NaN,NaN,NaN,6.68681884602e-6,4.621101518804577e-8,-0.027964832410442907,0.001468875076251798,0.3095485887462849,0.03619638434088669
0.05,100.0,0.004819942195408992,0.0004816961856893092,0.004558939889985984,7.466040354627424e-5,0.004665285979491336,0.00018467944899169076,0.004773203790477347,0.00028309320209297316,0.014932870362905516,3.7639817913351115,0.001110733003363535,1.1867628821016691,0.00437334677190828,5.6e-7,1.6733200530681513e-7,0.0,0.0,NaN,NaN,1.0,0.0,NaN,NaN,3.5260875657300006e-6,1.7777754201272948e-8,-0.01318684656704805,0.0014730008435939969,0.24446135019482712,0.08081098789572733
0.05,500.0,0.005942549694892997,0.0003803220281423425,0.0030388761748956655,4.748979825180019e-5,0.004188279836787002,8.63298728732384e-5,0.00489837455734432,0.0001908286103138311,0.09106114173086827,3.764257533280863,0.0017945988869019565,1.1872937964810681,0.0063816863443911815,4.5e-7,1.0e-7,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,7.375946686299999e-7,7.826987876892068e-9,0.012784924516810394,0.0030258268915900853,4.61050530506527,0.016627346828965054
0.05,1000.0,0.0055684279590740016,0.000494546145918087,0.001847136596751662,3.549919039422028e-5,0.003000437909576997,0.00010755126529530969,0.004369873335474668,0.00024650380375217036,0.2831164882870763,3.7647729085393444,0.0017336334106432198,1.1885546891803527,0.005562423489274814,NaN,NaN,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,3.6666071560999996e-7,2.4586337035892407e-9,0.018907202458006634,0.0015285430217297882,5.170061210556052,0.03131219061674695
