F_0,tau_V,MSD(2500),stdv MSD(2500),MSRD(500),stdv MSRD(500),MSRD(1000),stdv MSRD(1000),MSRD(2500),stdv MSRD(2500),MSRD diffusivity exponent,shape factor, stdv shape factor,aspect ratio,stdv aspect ratio,T1 rate,stdv T1 rate,P(l<l_c),stdv P(l<l_c),trapped edge lifetime,stdv trapped edge lifetime,T1 success rate,stdv T1 success rate,v^2,stdv v^2,correlation length,stdv correlation length,tau_eff,stdv tau_eff
0.015,0.1,0.0012180604477099995,0.00023466572715349126,0.0003710607850920001,3.0368464671700406e-6,0.0003734456807273336,3.1522770802826686e-6,0.0003731653506503333,2.1747028839250884e-6,0.0005100803189883325,3.760098613105923,0.0017936615491595616,1.1845222328168663,0.005948055719098392,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,0.00030508595778588996,1.353680213148381e-7,0.2835841730911926,0.00560032957569737,0.028260119310668415,0.00429570799915541
0.015,0.5,0.007157710591444,0.0017959013013460307,0.0017474109494666607,1.6915129489865895e-5,0.0017528174118883314,2.472964578799711e-5,0.001760987256130671,1.7750138434227963e-5,-0.00017311174474815864,3.7599261493529093,0.001757704787684268,1.183206716155928,0.005513511857826995,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,0.00026531059128367,8.149200128024578e-8,0.33394609205101505,0.004622294208665075,0.0669437547820095,0.008800404597185701
0.015,1.0,0.01569452926449701,0.0048845072916926914,0.0032540913033519987,4.2216252875272124e-5,0.0032596315426859997,4.124878489449073e-5,0.0032847490922586686,3.127800261926169e-5,-0.00020176105512194486,3.7614982702882314,0.0011354109489150007,1.1891431002852202,0.004184879658435183,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,0.00023625440397780003,1.5880960615447917e-7,0.3717388239631935,0.005598393878166501,0.0893637851569064,0.01105105095600828
0.015,2.0,0.027068897859326025,0.006184313796612966,0.005835965279193988,6.439973991543508e-5,0.005840674835859994,8.381290442603961e-5,0.005863286523337669,7.35638721574765e-5,-0.019652289287755597,3.762199519353685,0.0014216789510728123,1.1908406741030253,0.003456931887908281,2.0e-7,0.0,0.0,0.0,NaN,NaN,1.0,NaN,0.00020026321673317996,1.254178318675401e-7,0.42749746456381754,0.005912604384134503,0.19511983482499798,0.01213984687331184
0.015,5.0,0.064468994176308,0.018037649709132603,0.011351806769671366,9.283743032922457e-5,0.011462000395777664,0.0001552150891034165,0.011662569861363978,0.00024788709248224687,0.07222116856259538,3.7653441147948556,0.0015894950097997452,1.2007521732459279,0.004852122653766767,5.428571428571429e-7,1.5118578920369087e-7,0.0,0.0,0.0,NaN,1.0,0.0,0.00014707086934653127,1.6197932844330988e-7,0.535605691341393,0.006965359966344555,0.3349283711387709,0.03475232643128967
0.015,10.0,0.10727803976795001,0.020277856846179127,0.017470530202220343,0.00025254290836459716,0.017768626006810357,0.00038743950288352833,0.018101014419900675,0.0004905959858335034,-0.0020669085156459544,3.767616229477709,0.0014429747199133293,1.2081725621891675,0.004588518369989228,6.888888888888889e-7,4.1365578819969525e-7,0.0,0.0,NaN,NaN,1.0,0.0,0.00010811830468396,2.906186761157864e-7,0.6488564942174235,0.007506053208197201,0.6143504017142973,0.044670171090625634
0.015,20.0,0.18251980145445798,0.030484053845259467,0.025320827270669023,0.0004472345682243258,0.026011873643375674,0.0005601547140515082,0.026712164310464033,0.0007212578148012868,0.06976887067148763,3.771399835511603,0.0013465917437755284,1.21993175033405,0.004556822884421989,1.6e-6,6.733003292241386e-7,0.0,0.0,0.0,0.0,1.0,0.0,7.536575060220187e-5,3.032369729427382e-7,0.83199788175697,0.018297151352341327,1.1413330402509823,0.08470270800008758
0.015,50.0,0.4893360375652449,0.2240220615870661,0.037207324689727005,0.000897345740390936,0.03856076071632161,0.0010059024589732755,0.040360632748157925,0.0014948884775393347,0.08882051300387711,3.775076587542503,0.0014631323567079254,1.2311696970970456,0.004877138640190246,3.7199999999999995e-6,9.670114327716665e-7,0.0,0.0,0.0,0.0,1.0,0.0,4.3551212035066836e-5,2.3425316870678195e-7,1.1579611469476596,0.023570839498468738,1.818528575544399,0.31431534148313917
0.015,100.0,0.895864951831972,0.31417268895038514,0.04672172809182439,0.0014042051067636664,0.050672543298208986,0.0018439933290378295,0.05378059492752471,0.0020498912152728302,0.09295183173579648,3.780092656446738,0.0012351831533790436,1.2456798921440195,0.0037077279462172557,5.6199999999999996e-6,9.496198069637014e-7,0.0,0.0,0.0,0.0,1.0,0.0,2.77423279892579e-5,3.072043518788731e-7,1.4422760865880169,0.09602957892712038,3.106157621203207,0.9321067492634709
0.015,200.0,1.8182485576771255,0.8920526754604062,0.050148173793640345,0.0019358985679827953,0.06023732138201235,0.0035724829731110293,0.06653473262093489,0.005327715164364043,0.06529294309212746,3.7830019410852374,0.0009556405251787215,1.2548285885475445,0.0025605683949435245,5.8800000000000005e-6,1.373398056727263e-6,0.0,0.0,0.0,0.0,1.0,0.0,1.7493228123347015e-5,2.873272859901687e-7,1.9382470442948125,0.11816149393692583,10.532251354932063,2.156135296021785
